"Cluster.ID","Ind.ID","BATCH","OR","OR1","OR0"
96,3023,55,0.325427740396521,0.495804390152107,0.325427740396521
96,3024,55,0.307448455135527,0.477624221712357,0.307448455135527
96,3025,55,0.302854138898046,0.480666963751131,0.302854138898046
96,3026,55,0.474408520049943,0.474408520049943,0.301262764967321
96,3027,55,0.479143303322695,0.479143303322695,0.308988373717396
96,3028,55,0.465659077409401,0.465659077409401,0.291951495594909
96,3029,55,0.291951495594909,0.465659077409401,0.291951495594909
96,3030,55,0.474408520049943,0.474408520049943,0.301262764967321
96,3031,55,0.32428648506873,0.492677834376849,0.32428648506873
96,3032,55,0.471745747813633,0.471745747813633,0.292239418178032
96,3033,55,0.555891037391169,0.701200835913378,0.555891037391169
96,3034,55,0.471880488843772,0.471880488843772,0.304088458539996
96,3035,55,0.647340628849703,0.647340628849703,0.480013553949539
96,3036,55,0.698899367882988,0.698899367882988,0.556304240009773
96,3037,55,0.499719320583535,0.499719320583535,0.334337935165749
96,3038,55,0.313955119979196,0.487986669929183,0.313955119979196
96,3039,55,0.311463903205726,0.481625362063613,0.311463903205726
96,3040,55,0.688515162611524,0.688515162611524,0.540683210781185
96,3041,55,0.27985340071828,0.455075862401205,0.27985340071828
96,3042,55,0.490132621468414,0.490132621468414,0.316272234738142
96,3043,55,0.555891037391169,0.701200835913378,0.555891037391169
96,3044,55,0.880359006150767,0.880359006150767,0.81142005572158
96,3045,55,0.378015207832221,0.54037995234909,0.378015207832221
96,3046,55,0.366624272290023,0.5257032622074,0.366624272290023
96,3047,55,0.791966840774958,0.791966840774958,0.682075820458602
96,3048,55,0.842529671313226,0.8958785381604,0.842529671313226
96,3049,55,0.413856388794176,0.572935375744352,0.413856388794176
96,3050,55,0.35573330415486,0.523759021311953,0.35573330415486
96,3051,55,0.514413907184332,0.514413907184332,0.347735455229629
96,3052,55,0.886542113119641,0.886542113119641,0.812751908960713
96,3053,55,0.750685124563612,0.750685124563612,0.622027360491863
96,3054,55,0.355271762940365,0.515395752420614,0.355271762940365
96,3055,55,0.380094542973259,0.534377879354197,0.380094542973259
96,3056,55,0.347735455229629,0.514413907184332,0.347735455229629
96,3057,55,0.366624272290023,0.5257032622074,0.366624272290023
96,3058,55,0.341014340464293,0.502414926416548,0.341014340464293
96,3059,55,0.817760557899842,0.881691345960126,0.817760557899842
96,3060,55,0.375459520281388,0.544596358167121,0.375459520281388
96,3061,55,0.515395752420614,0.515395752420614,0.355271762940365
96,3062,55,0.515395752420614,0.515395752420614,0.355271762940365
96,3063,55,0.787626836573375,0.787626836573375,0.673754499298026
96,3064,55,0.739884717170235,0.739884717170235,0.596382145300854
96,3065,55,0.813185197198346,0.884991965160697,0.813185197198346
96,3066,55,0.421924425673411,0.574330247670827,0.421924425673411
96,3067,55,0.540518348234054,0.540518348234054,0.3674467001086
96,3068,55,0.414602412957736,0.576680580503429,0.414602412957736
96,3069,55,0.515395752420614,0.515395752420614,0.355271762940365
96,3070,55,0.355271762940365,0.515395752420614,0.355271762940365
96,3071,55,0.791966840774958,0.791966840774958,0.682075820458602
96,3072,55,0.825222466894463,0.887581108400091,0.825222466894463
96,3073,55,0.542779240871067,0.542779240871067,0.380247794470325
96,3074,55,0.368066040666686,0.544342600710249,0.368066040666686
96,3075,55,0.355271762940365,0.515395752420614,0.355271762940365
96,3076,55,0.540518348234054,0.540518348234054,0.3674467001086
96,3077,55,0.887581108400091,0.887581108400091,0.825222466894463
96,3078,55,0.366624272290023,0.5257032622074,0.366624272290023
96,3079,55,0.792651097551365,0.792651097551365,0.677812383017667
96,3080,55,0.5257032622074,0.5257032622074,0.366624272290023
96,3081,55,0.382233703711606,0.547757749961579,0.382233703711606
96,3082,55,0.5257032622074,0.5257032622074,0.366624272290023
96,3083,55,0.540518348234054,0.540518348234054,0.3674467001086
96,3084,55,0.757806947549835,0.757806947549835,0.619225531262493
96,3085,55,0.514413907184332,0.514413907184332,0.347735455229629
96,3086,55,0.366624272290023,0.5257032622074,0.366624272290023
96,3087,55,0.35573330415486,0.523759021311953,0.35573330415486
96,3088,55,0.563711036738591,0.563711036738591,0.404285823354033
96,3089,55,0.534377879354197,0.534377879354197,0.380094542973259
96,3090,55,0.769387992261485,0.769387992261485,0.643317785417404
97,3091,55,0.698399496799881,0.80007151419022,0.698399496799881
97,3092,55,0.734290254880512,0.801750076926115,0.734290254880512
97,3093,55,0.72843847864994,0.808599761138963,0.72843847864994
97,3094,55,0.713007490080026,0.781533918070022,0.713007490080026
97,3095,55,0.702821370565727,0.797039568319556,0.702821370565727
97,3096,55,0.720618702563088,0.824372976968467,0.720618702563088
97,3097,55,0.767398294336402,0.840897145495272,0.767398294336402
97,3098,55,0.869194004460347,0.869194004460347,0.807049720322705
97,3099,55,0.85624898202564,0.85624898202564,0.791658758834151
97,3100,55,0.858589778239708,0.858589778239708,0.790113763613781
97,3101,55,0.702821370565727,0.797039568319556,0.702821370565727
97,3102,55,0.702821370565727,0.797039568319556,0.702821370565727
97,3103,55,0.809752939557541,0.809752939557541,0.719607941765926
97,3104,55,0.808599761138963,0.808599761138963,0.72843847864994
97,3105,55,0.792959024063295,0.792959024063295,0.694024809522117
97,3106,55,0.797039568319556,0.797039568319556,0.702821370565727
97,3107,55,0.720644868106064,0.8143216627704,0.720644868106064
97,3108,55,0.750012337267261,0.81029808091416,0.750012337267261
97,3109,55,0.847337301524347,0.847337301524347,0.77156316017857
97,3110,55,0.869852349947861,0.869852349947861,0.790142728571549
97,3111,55,0.807049720322705,0.869194004460347,0.807049720322705
98,3112,55,0.885160868688461,0.885160868688461,0.804325202168463
98,3113,55,0.505853291835359,0.693952593896827,0.505853291835359
98,3114,55,0.447355679306695,0.658053603105503,0.447355679306695
98,3115,55,0.666574286062945,0.666574286062945,0.493539075350446
98,3116,55,0.653684017394357,0.653684017394357,0.472856955400779
98,3117,55,0.472856955400779,0.653684017394357,0.472856955400779
98,3118,55,0.521416597737068,0.676683992050607,0.521416597737068
98,3119,55,0.467315404775198,0.646443435120283,0.467315404775198
98,3120,55,0.504204013835467,0.673718474924346,0.504204013835467
98,3121,55,0.646443435120283,0.646443435120283,0.467315404775198
98,3122,55,0.546813886872008,0.705168485495977,0.546813886872008
98,3123,55,0.493240502112701,0.70631128410562,0.493240502112701
98,3124,55,0.544531963375824,0.723825018397514,0.544531963375824
